"filename", "language", "Python", "Database", "SQLite", "comment", "blank", "total"
"/home/lars/Projects/music-downloader/src/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/goof.py", "Python", 44, 0, 0, 5, 12, 61
"/home/lars/Projects/music-downloader/src/music_kraken/__init__.py", "Python", 117, 0, 0, 32, 48, 197
"/home/lars/Projects/music-downloader/src/music_kraken/__main__.py", "Python", 3, 0, 0, 2, 3, 8
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/__init__.py", "Python", 10, 0, 0, 0, 5, 15
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/fetch_audio.py", "Python", 75, 0, 0, 12, 20, 107
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/fetch_source.py", "Python", 54, 0, 0, 1, 16, 71
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/local_files.py", "Python", 40, 0, 0, 0, 18, 58
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/musify.py", "Python", 136, 0, 0, 9, 37, 182
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/source.py", "Python", 11, 0, 0, 5, 8, 24
"/home/lars/Projects/music-downloader/src/music_kraken/audio_source/sources/youtube.py", "Python", 71, 0, 0, 4, 24, 99
"/home/lars/Projects/music-downloader/src/music_kraken/database/__init__.py", "Python", 11, 0, 0, 1, 4, 16
"/home/lars/Projects/music-downloader/src/music_kraken/database/database.py", "Python", 191, 0, 0, 102, 45, 338
"/home/lars/Projects/music-downloader/src/music_kraken/database/get_song.py", "Python", 40, 0, 0, 5, 11, 56
"/home/lars/Projects/music-downloader/src/music_kraken/database/new_database.py", "Python", 172, 0, 0, 78, 55, 305
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/__init__.py", "Python", 11, 0, 0, 0, 4, 15
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/artist.py", "Python", 18, 0, 0, 0, 5, 23
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/database_object.py", "Python", 21, 0, 0, 5, 11, 37
"/home/lars/Projects/music-downloader/src/music_kraken/database/objects/song.py", "Python", 179, 0, 0, 52, 60, 291
"/home/lars/Projects/music-downloader/src/music_kraken/database/song.py", "Python", 125, 0, 0, 20, 45, 190
"/home/lars/Projects/music-downloader/src/music_kraken/database/temp_database.py", "Python", 10, 0, 0, 0, 7, 17
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/genius.py", "Python", 115, 0, 0, 16, 42, 173
"/home/lars/Projects/music-downloader/src/music_kraken/lyrics/lyrics.py", "Python", 36, 0, 0, 25, 20, 81
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/__init__.py", "Python", 6, 0, 0, 0, 2, 8
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/metadata_fetch.py", "Python", 257, 0, 0, 24, 65, 346
"/home/lars/Projects/music-downloader/src/music_kraken/metadata/metadata_search.py", "Python", 253, 0, 0, 40, 72, 365
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/new_db.sql", "SQLite", 0, 0, 66, 0, 10, 76
"/home/lars/Projects/music-downloader/src/music_kraken/static_files/temp_database_structure.sql", "SQLite", 0, 0, 135, 0, 10, 145
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/lars/Projects/music-downloader/src/music_kraken/tagging/song.py", "Python", 3, 0, 0, 0, 1, 4
"/home/lars/Projects/music-downloader/src/music_kraken/target/__init__.py", "Python", 4, 0, 0, 0, 2, 6
"/home/lars/Projects/music-downloader/src/music_kraken/target/set_target.py", "Python", 37, 0, 0, 7, 18, 62
"/home/lars/Projects/music-downloader/src/music_kraken/utils/__init__.py", "Python", 1, 0, 0, 1, 1, 3
"/home/lars/Projects/music-downloader/src/music_kraken/utils/functions.py", "Python", 3, 0, 0, 0, 1, 4
"/home/lars/Projects/music-downloader/src/music_kraken/utils/object_handeling.py", "Python", 19, 0, 0, 0, 6, 25
"/home/lars/Projects/music-downloader/src/music_kraken/utils/phonetic_compares.py", "Python", 39, 0, 0, 2, 17, 58
"/home/lars/Projects/music-downloader/src/music_kraken/utils/shared.py", "Python", 60, 0, 0, 3, 9, 72
"/home/lars/Projects/music-downloader/src/music_kraken_cli.py", "Python", 94, 0, 0, 9, 32, 135
"/home/lars/Projects/music-downloader/src/music_kraken_gtk.py", "Python", 3, 0, 0, 0, 2, 5
"/home/lars/Projects/music-downloader/src/test.db", "Database", 0, 76, 0, 0, 0, 76
"/home/lars/Projects/music-downloader/src/try-programming-interface.py", "Python", 14, 0, 0, 98, 22, 134
"Total", "-", 2283, 76, 201, 558, 774, 3892
